BP;Bahnhof;Region;Kategorie;Fahrgastwechselzeit_IPV;Fahrgastwechselzeit_A;Fahrgastwechselzeit_B;Fahrgastwechselzeit_C;Fahrgastwechselzeit_D;Umsteigezeit;ZAZ;Labels;Erstellen;X;Y
PFU;Pfungen;Ost;4;;;;;;;;;;;
PIE;Pieterlen;Mitte;4;;;;;;;;;;;
PINT;Pino-Tronzano;Sud;4;;;;;;;;;;;
LP;Plaine, La;Ouest;4;;;;;;;;;;;
PT;Pont, Le;Ouest;5;;;;;;;;;;;
PTC;Pont-Cèard;Ouest;4;;;;;;;;;;;
PON;Pontenet;Ouest;5;;;;;;;;;;;
POR;Porrentruy;Ouest;4;;;;;;;;;;;
PR;Pratteln;Mitte;3;;;;;;;;;;;
PRSR;Pratteln Salina Raurica;Mitte;4;;;;;;;;;;;
PRE;Preglia;Sud;4;;;;;;;;;;;
PRST;Presta, La, Mines d'asphalte;Ouest;HaV;;;;;;;;;;;
PRMA;Prilly-Malley;Ouest;4;;;;;;;;;;;
PUI;Puidoux-Chexbrres;Ouest;4;;;;;;3;;;;;
PU;Pully;Ouest;4;;;;;;;;;;;
PUN;Pully Nord;Ouest;4;;;;;;;;;;;
QUA;Quartino;Sud;5;;;;;;;;;;;
RZ;Rafz;Ost;4;;;;;;;;;;;
RMZ;Rämismühle-Zell;Ost;4;;;;;;;;;;;
RAM;Ramsei;Mitte;4;;;;;;;;;;;
RZO ;Ranzo-S. Abbondio;Sud;5;;;;;;;;;;;
RW;Rapperswil;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
RAR;Raron;Ouest;4;;;;;;;;;;;
RAET;Räterschen;Ost;4;;;;;;;;;;;
REB;Rebstein-Marbach;Ost;4;;;;;;;;;;;
REC;Reconvilier;Ouest;4;;;;;;;;;;;
REG;Regensdorf-Watt;Ost;3;;;;;;;;;;;
REIK;Reichenbach im Kandertal;Mitte;5;;;;;;;;;;;
RG;Reichenburg;Ost;4;;;;;;;;;;;
REID;Reiden;Mitte;4;;;;;;;;;;;
REK;Rekingen AG;Ost;4;;;;;;;;;;;
RE;Renan BE;Mitte;4;;;;;;;;;;;
REN;Renens;Ouest;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
REU;Reuchenette-Péry;Ouest;4;;;;;;;;;;;
REUT;Reutlingen;Ost;4;;;;;;;;;;;
RCK;Rheineck;Ost;4;;;;;;;;;;;
RF;Rheinfelden;Mitte;4;;;;;;3;;;;;
RFAU;Rheinfelden Augarten;Mitte;4;;;;;;;;;;;
RIAZ;Riazzino;Sud;4;;;;;;;;;;;
RI;Richterswil;Ost;4;;;;;;;;;;;
RIK;Rickenbach-Attikon;Ost;4;;;;;;;;;;;
RID;Riddes;Ouest;4;;;;;;;;;;;
RCH;Riedbach;Mitte;4;;;;;;;;;;;
RDM;Riedmatt SZ;Ost;HaV;;;;;;;;;;;
RIET;Rietheim;Ost;4;;;;;;;;;;;
RN;Rikon;Ost;4;;;;;;;;;;;
RGD;Ringoldingen;Mitte;HaV;;;;;;;;;;;
RIV;Rivaz;Ouest;5;;;;;;;;;;;
RIB;Rivera-Bironico;Sud;4;;;;;;;;;;;
ROC;Roche VD;Ouest;4;;;;;;;;;;;
RCY;Rocheray, le;Ouest;HaV;;;;;;;;;;;
RO;Rodi-Fiesso;Sud;4;;;;;;;;;;;
ROBG;Roggwil-Berg;Ost;HaV;;;;;;;;;;;
ROG;Roggwil-Wynau;Mitte;4;;;;;;;;;;;
RBA;Rohrbach;Mitte;5;;;;;;;;;;;
ROL;Rolle;Ouest;4;;;;;;;;;;;
RH;Romanshorn;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
ROM;Romont;Ouest;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
LBD;Root D4;Mitte;4;;;;;;;;;;;
RS;Rorschach;Ost;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
RSHF;Rorschach Hafen;Ost;4;;;;;;;;;;;
RSST;Rorschach Stadt;Ost;4;;;;;;;;;;;
ROS;Rosé;Ouest;5;;;;;;;;;;;
ROSS;Rosshäusern;Mitte;4;;;;;;;;;;;
RBG;Rothenburg;Mitte;4;;;;;;;;;;;
RBGD;Rothenburg Dorf;Mitte;4;;;;;;;;;;;
RTT;Rothenthurm;Ost;4;;;;;;;;;;;
RTR;Rothrist;Mitte;4;;;;;;;;;;;
RK;Rotkreuz;Mitte;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
RUB;Rubigen;Mitte;4;;;;;;;;;;;
RUEN;Rümikon AG;Ost;4;;;;;;;;;;;
RUEM;Rümlang;Ost;3;;;;;;;;;;;
RLG;Rümligen;Mitte;5;;;;;;;;;;;
RU;Rupperswil;Mitte;4;;;;;;;;;;;
RUES;Rüschlikon;Ost;3;;;;;;;;;;;
RUS;Russin;Ouest;4;;;;;;;;;;;
RTH;Rüthi SG;Ost;4;;;;;;;;;;;
RUET;Rüti GL;Ost;4;;;;;;;;;;;
RUE;Rüti ZH;Ost;3;;;;;;;;;;;
SAN;S. Antonino;Sud;4;;;;;;;;;;;
SN;S. Nazzaro;Sud;4;;;;;;;;;;;
SAF;Safenwil;Mitte;4;;;;;;;;;;;
SD;Saland;Ost;4;;;;;;;;;;;
SAS;Salez-Sennwald;Ost;4;;;;;;;;;;;
SAL ;Salgesch;Ouest;4;;;;;;;;;;;
SAM;Samstagern;Ost;4;;;;;;;;;;;
SA;Sargans;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
LSA;Sarraz, La;Ouest;4;;;;;;;;;;;
SY;Satigny;Ouest;4;;;;;;;;;;;
SAT;Sattel-Aegeri;Ost;4;;;;;;;;;;;
SAX;Saxon;Ouest;4;;;;;;;;;;;
SCH;Schachen (Herisau);Ost;HaV;;;;;;;;;;;
SCHA;Schachen LU;Mitte;5;;;;;;;;;;;
SH;Schaffhausen;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
SHIE;Schaffhausen im Emmental;Mitte;HaV;;;;;;;;;;;
SCAE;Schänis;Ost;5;;;;;;;;;;;
SCHI;Schindellegi-Feusisberg;Ost;4;;;;;;;;;;;
SBAD;Schinznach Bad;Mitte;4;;;;;;;;;;;
SCHT;Schlatt;Ost;HaV;;;;;;;;;;;
SCHN;Schlattingen;Ost;HaV;;;;;;;;;;;
SCHL;Schlieren;Ost;3;;;;;;;;;;;
SLF;Schloss Laufen am Rheinfall;Ost;4;;;;;;;;;;;
SCME;Schmerikon;Ost;4;;;;;;;;;;;
SCMI;Schmitten;Mitte;4;;;;;;;;;;;
SCHO;Schöfflisdorf-Oberweningen;Ost;4;;;;;;;;;;;
SCHB;Schönbühl SBB;Mitte;4;;;;;;;;;;;
SCOE;Schönenwerd SO;Mitte;4;;;;;;;;;;;
SCHK;Schottikon;Ost;4;;;;;;;;;;;
SCBU;Schübelbach-Buttikon;Ost;4;;;;;;;;;;;
SCUE;Schüpfen;Mitte;4;;;;;;;;;;;
SCHH;Schüpfheim;Mitte;4;;;;;;;;;;;
SWB;Schwäbis;Mitte;HaV;;;;;;;;;;;
SCHD;Schwanden;Ost;4;;;;;;;;;;;
SCBG;Schwarzenburg;Mitte;4;;;;;;;;;;;
SBR;Schwarzwasserbrücke;Mitte;5;;;;;;;;;;;
SCWE;Schwerzenbach ZH;Ost;3;;;;;;;;;;;
SCHW;Schwyz;Sud;4;1.5;1.5;1.5;1.5;1.5;4;;;;;
SEC;Séchey;Ouest;HaV;;;;;;;;;;;
SF;Seftigen;Mitte;4;;;;;;;;;;;
SEL;Selzach;Mitte;4;;;;;;;;;;;
SEM;Sempach-Neuenkirch;Mitte;4;1.5;1.5;1.5;1.5;1.5;3;;;;;
SKY;Sennhof-Kyburg;Ost;4;;;;;;;;;;;
SEN;Sentier-Orient;Ouest;5;;;;;;;;;;;
SE;Seon;Mitte;4;;;;;;;;;;;
SENO;Seon Nord;Mitte;5;;;;;;;;;;;
SEU;Seuzach;Ost;3;;;;;;;;;;;
SEV;Sevelen;Ost;4;;;;;;;;;;;
SIB;Siebnen-Wangen;Ost;3;;;;;;;;;;;
SHAU;Siegershausen;Ost;HaV;;;;;;;;;;;
SIE;Sierre/Siders;Ouest;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
SIG;Siggenthal-Würenlingen;Ost;4;;;;;;;;;;;
SIGN;Signau;Mitte;4;;;;;;;;;;;
SINS;Sins;Mitte;4;;;;;;;;;;;
SIO;Sion;Ouest;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
SIR;Sirnach;Ost;4;;;;;;;;;;;
SK;Sisikon;Sud;5;;;;;;;;;;;
SIS;Sissach;Mitte;3;;;;;;3;;;;;
SIT;Sitterdorf;Ost;5;;;;;;;;;;;
SIV;Siviriez;Ouest;5;;;;;;;;;;;
SGO;Solliat-Golisse;Ouest;HaV;;;;;;;;;;;
SO;Solothurn;Mitte;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
SOAD;Solothurn Allmend;Mitte;4;;;;;;;;;;;
SW;Solothurn West;Mitte;4;;;;;;;;;;;
SOM;Sommerau;Mitte;5;;;;;;;;;;;
SCB;Sonceboz-Sombeval;Ouest;4;;;;;;;;;;;
SV;Sonvilier;Ouest;4;;;;;;;;;;;
SOR;Sorvilier;Ouest;5;;;;;;;;;;;
SP;Spiez;Mitte;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
STER;St. Erhard-Knutwil;Mitte;4;;;;;;;;;;;
SG;St. Gallen;Ost;2;2;2;2;2;2;5;;;JA;2818.572081;-589.3046175
SGBR;St. Gallen Bruggen;Ost;4;;;;;;;;;;;
SGHA;St. Gallen Haggen;Ost;4;;;;;;;;;;;
SGF;St. Gallen St. Fiden ;Ost;4;;;;;;;;;;;
SGWI;St. Gallen Winkeln;Ost;4;;;;;;;;;;;
STKT;St. Katharinental;Ost;HaV;;;;;;;;;;;
SMG;St. Margrethen;Ost;3;1.5;1.5;1.5;1.5;1.5;;;;;;
STA;Staad;Ost;4;;;;;;;;;;;
STAF;Stabio;Sud;4;;;;;;;;;;;
STAE;Stäfa;Ost;3;;;;;;;;;;;
STAL;Stalden im Emmental;Mitte;HaV;;;;;;;;;;;
STM;Stammheim;Ost;4;;;;;;;;;;;
SBL;St-Blaise CFF;Ouest;4;;;;;;;;;;;
SBLB;St-Blaise-Lac;Ouest;4;;;;;;;;;;;
STK;Steckborn;Ost;4;;;;;;;;;;;
STEF;Steffisburg;Mitte;4;;;;;;;;;;;
STG;Steg;Ost;4;;;;;;;;;;;
STR;Stein am Rhein;Ost;4;;;;;;;;;;;
STCH;Steinach;Ost;4;;;;;;;;;;;
STB;Steinebrunn;Ost;HaV;;;;;;;;;;;
STN;Steinen;Sud;4;;;;;;;;;;;
STBG;Steinerberg;Ost;4;;;;;;;;;;;
STE;Steinhausen;Ost;4;;;;;;;;;;;
STRI;Steinhausen Rigiblick;Ost;4;;;;;;;;;;;
STMR;Steinmaur;Ost;4;;;;;;;;;;;
STS;Stein-Säckingen;Mitte;4;;;;;;3;;;;;
STET;Stettbach;Ost;3;;;;;;;;;;;
STGI;St-Gingolph (Suisse);Ouest;4;;;;;;;;;;;
STI;St-Imier;Ouest;4;;;;;;;;;;;
STIC;St-Imier La Clef;Ouest;4;;;;;;;;;;;
SLF;Schloss Laufen am Rheinfall;Ouest;4;;;;;;;;;;;
SM;St-Maurice;Ouest;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
STP;St-Prex;Ouest;4;;;;;;;;;;;
STSA;St-Saphorin;Ouest;5;;;;;;;;;;;
STU;Studen BE;Mitte;4;;;;;;;;;;;
SU;St-Ursanne;Ouest;4;;;;;;;;;;;
SUB;Suberg-Grossaffoltern;Mitte;4;;;;;;;;;;;
SUGI;Sugiez;Ouest;4;;;;;;;;;;;
SUHR;Suhr;Mitte;3;;;;;;;;;;;
SLG;Sulgen;Ost;4;;;;;;;;;;;
SS;Sursee;Mitte;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
TAEN;Tägerschen;Ost;HaV;;;;;;;;;;;
TI;Tägertschi;Mitte;4;;;;;;;;;;;
TAEM;Tägerwilen Dorf;Ost;HaV;;;;;;;;;;;
TAEG;Tägerwilen-Gottlieben;Ost;HaV;;;;;;;;;;;
TAN;Tannay;Ouest;4;;;;;;;;;;;
TD;Tann-Dürnten;Ost;4;;;;;;;;;;;
TA;Tavannes;Ouest;4;;;;;;;;;;;
TAV;Taverne-Torricella;Sud;4;;;;;;;;;;;
TK;Tecknau;Mitte;4;;;;;;;;;;;
TEN;Tenero;Sud;4;;;;;;;;;;;
TER;Territet;Ouest;5;;;;;;;;;;;
TLH;Thalheim-Altikon;Ost;4;;;;;;;;;;;
TW;Thalwil;Ost;3;;;;;;3;;;;;
THO;Thörishaus;Mitte;4;;;;;;;;;;;
THOD;Thörishaus Dorf;Mitte;4;;;;;;;;;;;
TH;Thun;Mitte;2;2;2;2;2;2;4;;;JA;-1173.572842;1807.484374
THU;Thurnen;Mitte;4;;;;;;;;;;;
TOA;Tobel-Affeltrangen;Ost;HaV;;;;;;;;;;;
TO;Toffen;Mitte;4;;;;;;;;;;;
TOUR;Tour-de-Peilz, La;Ouest;4;;;;;;;;;;;
TR;Travers;Ouest;4;;;;;;;;;;;
TREY;Trey;Ouest;5;;;;;;;;;;;
TRIB;Triboltingen;Ost;HaV;;;;;;;;;;;
TRI;Trimbach;Mitte;5;;;;;;;;;;;
TRUE;Trübbach;Ost;4;;;;;;;;;;;
TSCH;Trubschachen;Mitte;5;;;;;;;;;;;
TUI;Tuileries, Les;Ouest;4;;;;;;;;;;;
TU;Turbenthal;Ost;4;;;;;;;;;;;
TG;Turgi;Ost;3;;;;;;3;;;;;
TUR;Turtmann;Ouest;4;;;;;;;;;;;
TUE;Tüscherz;Ouest;5;;;;;;;;;;;
TWN;Twann;Ouest;4;;;;;;;;;;;
UER;Uerikon;Ost;4;;;;;;;;;;;
UE;Uetendorf;Mitte;4;;;;;;;;;;;
UEA;Uetendorf Allmend;Mitte;4;;;;;;;;;;;
UET;Uetikon ;Ost;3;;;;;;;;;;;
UNT;Unterterzen;Ost;4;;;;;;;;;;;
URD;Urdorf;Ost;3;;;;;;;;;;;
URDW;Urdorf Weihermatt;Ost;3;;;;;;;;;;;
UST;Uster;Ost;3;;;;;;4;;;;;
UTI;Uttigen;Mitte;4;;;;;;;;;;;
UTW;Uttwil;Ost;HaV;;;;;;;;;;;
UT;Utzenstorf;Mitte;5;;;;;;;;;;;
UZ ;Uznach;Ost;4;;;;;;;;;;;
UZW;Uzwil;Ost;4;1.5;1.5;1.5;1.5;1.5;3;;;;;
VAL;Vallorbe;Ouest;4;1.5;1.5;1.5;1.5;1.5;;;;;;
VAR;Varzo;Sud;4;;;;;;;;;;;
VD;Vauderens;Ouest;5;;;;;;;;;;;
VAU;Vaumarcus;Ouest;5;;;;;;;;;;;
VERN;Vernayaz;Ouest;4;;;;;;;;;;;
COI;Vernier;Ouest;4;;;;;;;;;;;
VSX;Versoix;Ouest;4;;;;;;;;;;;
VV;Vevey;Ouest;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
VVFU;Vevey-Funi;Ouest;HaV;;;;;;;;;;;
VEY;Veytaux-Chillon;Ouest;5;;;;;;;;;;;
VG;Villars-sur-Glâne;Ouest;4;;;;;;;;;;;
VZ;Villaz-St-Pierre;Ouest;4;;;;;;;;;;;
VIL;Villeneuve;Ouest;4;;;;;;;;;;;
VT;Villeret;Ouest;4;;;;;;;;;;;
VTE;Villette VD;Ouest;5;;;;;;;;;;;
VIO;Vionnaz;Ouest;5;;;;;;;;;;;
VI;Visp;Ouest;2;2;2;2;2;2;4;;;JA;-578.900898;3418.974947
VOU;Vouvry;Ouest;4;;;;;;;;;;;
VU;Vufflens-la-Ville;Ouest;4;;;;;;;;;;;
WBB;Wabern bei Bern;Mitte;4;;;;;;;;;;;
WAE;Wädenswil;Ost;3;;;;;;3;;;;;
WCHW;Walchwil;Ost;4;;;;;;;;;;;
WCHO;Walchwil Hörndli;Ost;5;;;;;;;;;;;
WL;Wald;Ost;4;;;;;;;;;;;
WALD;Waldegg;Mitte;4;;;;;;;;;;;
WAB;Waldibrücke;Mitte;5;;;;;;;;;;;
WAL;Walenstadt;Ost;4;;;;;;;;;;;
WALK;Walkringen;Mitte;5;;;;;;;;;;;
WS;Wallisellen;Ost;3;;;;;;;;;;;
WAST;Walterswil-Striegel;Mitte;5;;;;;;;;;;;
WAA;Wangen an der Aare;Mitte;4;;;;;;;;;;;
WBOL;Wangen bei Olten;Mitte;4;;;;;;;;;;;
WA;Wattwil;Ost;3;;;;;;;;;;;
WAU;Wauwil;Mitte;4;;;;;;;;;;;
WF;Weinfelden;Ost;3;1.5;1.5;1.5;1.5;1.5;5;;;;;
WBA;Weissenbach;Mitte;4;;;;;;;;;;;
WG;Weissenburg;Mitte;HaV;;;;;;;;;;;
WST;Werthenstein;Mitte;5;;;;;;;;;;;
WE;Wettingen;Ost;3;1.5;1.5;1.5;1.5;1.5;;;;;;
WZ;Wetzikon;Ost;3;;;;;;4;;;;;
WCH;Wichtrach;Mitte;4;;;;;;;;;;;
WD;Wiesendangen;Ost;4;;;;;;;;;;;
WIL ;Wil  ;Ost;2;2;2;2;2;2;4;;;JA;2060.435379;-709.0873575
WILA;Wila;Ost;4;;;;;;;;;;;
WI;Wildegg;Mitte;4;;;;;;;;;;;
WILN;Wilen bei Wollerau;Ost;HaV;;;;;;;;;;;
WR;Wiler;Mitte;5;;;;;;;;;;;
WSAU;Willisau;Mitte;4;;;;;;;;;;;
WM;Wimmis;Mitte;5;;;;;;;;;;;
WIN;Winkel am Zürichsee;Ost;4;;;;;;;;;;;
W;Winterthur;Ost;2;2;2;2;2;2;4;;;JA;1330.339474;-828.050963
WGR;Winterthur Grüze;Ost;4;;;;;;;;;;;
WHE;Winterthur Hegi;Ost;4;;;;;;;;;;;
WSEE;Winterthur Seen;Ost;4;;;;;;;;;;;
TWOE;Winterthur Töss;Ost;4;;;;;;;;;;;
WWAL;Winterthur Wallrüti;Ost;4;;;;;;;;;;;
WWUE;Winterthur Wülflingen ;Ost;4;;;;;;;;;;;
WIT;Wittenbach;Ost;4;;;;;;;;;;;
WO;Wohlen;Mitte;3;;;;;;3;;;;;
WH;Wolhusen;Mitte;4;;;;;;;;;;;
WHW;Wolhusen Weid;Mitte;HaV;;;;;;;;;;;
WOL;Wollerau;Ost;4;;;;;;;;;;;
WB;Worb SBB;Mitte;4;;;;;;;;;;;
WUE;Wünnewil;Mitte;4;;;;;;;;;;;
WUER;Würenlos;Ost;4;;;;;;;;;;;
WY;Wynigen;Mitte;4;;;;;;;;;;;
CHP;Yverdon-Champ Pittet;Ouest;4;;;;;;;;;;;
YV;Yverdon-les-Bains;Ouest;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
YPRC;Yverdon Y-Parc;Ouest;4;;;;;;;;;;;
YND;Yvonand;Ouest;4;;;;;;;;;;;
ZAE;Zäziwil;Mitte;4;;;;;;;;;;;
ZELL;Zell;Ouest;5;;;;;;;;;;;
ZB;Ziegelbrücke;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
ZBR;Zihlbrücke;Mitte;HaV;;;;;;;;;;;
ZIM;Zimeysa;Ouest;4;;;;;;;;;;;
ZF;Zofingen;Mitte;3;1.5;1.5;1.5;1.5;1.5;5;;;;;
ZO;Zollbrück;Mitte;5;;;;;;;;;;;
ZOL;Zollikofen;Mitte;4;;;;;;;;;;;
ZK;Zollikon;Ost;3;;;;;;;;;;;
ZG;Zug;Ost;2;2;2;2;2;2;4;;;JA;866.6159235;323.4007965
ZGCA;Zug Casino;Ost;4;;;;;;;;;;;
KMUE;Zug Chollermüli;Ost;4;;;;;;;;;;;
ZGFR;Zug Fridbach;Ost;4;;;;;;;;;;;
ZGO;Zug Oberwil;Ost;4;;;;;;;;;;;
ZGPP;Zug Postplatz;Ost;4;;;;;;;;;;;
ZGSE;Zug Schutzengel;Ost;4;;;;;;;;;;;
ZAF;Zürich Affoltern;Ost;3;;;;;;;;;;;
ZAS;Zürich Altstetten;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
ZEN;Zürich Enge;Ost;3;;;;;;4;;;;;
ZFH;Zürich Flughafen;Ost;2;3;3;3;3;3;4;;;JA;962.4904855;-647.2111605
ZHDB;Zürich Hardbrücke;Ost;3;;;;;;3;;;;;
ZUE;Zürich HB Halle (3-18);Ost;1+;4;4;4;4;4;7;;;JA;914.994672;-393.562859
ZLOE;Zürich Löwenstrasse;Ost;1+;4;4;4;4;4;3;;;;;
ZMUS;Zürich Museumsstrasse ;Ost;1+;4;4;4;4;4;3;;;;;
ZOER;Zürich Oerlikon;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
ZSEB;Zürich Seebach;Ost;3;;;;;;;;;;;
ZSTH;Zürich Stadelhofen;Ost;3;;;;;;4;;;;;
ZTB;Zürich Tiefenbrunnen;Ost;3;;;;;;;;;;;
ZWIE;Zürich Wiedikon;Ost;3;;;;;;;;;;;
ZWIP;Zürich Wipkingen ;Ost;3;;;;;;;;;;;
ZWOL;Zürich Wollishofen;Ost;3;;;;;;;;;;;
ZWD;Zweidlen;Ost;4;;;;;;;;;;;
ZW;Zweisimmen;Mitte;3;;;;;;;;;;;
ZWG;Zwingen;Mitte;4;;;;;;;;;;;
